swtoaaso3;All-Sky SW-RF O3 at TOA;unset;proposed name: toa_instantaneous_shortwave_forcing_due_to_ozone;[['CCMI1_monthly']]
dtaus;Stratiform Cloud Optical Depth;atmosphere_optical_thickness_due_to_stratiform_cloud;This is the in-cloud optical depth obtained by considering only the cloudy portion of the grid cell.;[['CMIP5_cf3hr']]
cclf2cf3tbrdn;Tendency of Atmospheric Burden of CFC-115;tendency_of_atmosphere_moles_of_cfc115;total yearly averaged atmospheric loss;[['CCMI1_annual']]
od550aerh2o;Aerosol Water AOD at 550nm;atmosphere_optical_thickness_due_to_water_in_ambient_aerosol;proposed name: atmosphere_optical_thickness_due_to_water_ambient_aerosol;[['CCMI1_monthly']]
emivoc;Total Emission Rate of NMVOC;unset;Integrate 3D emission field vertically to 2d field.  _If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file.;[['CCMI1_monthly']]
rsdsdiff;Surface Diffuse Downwelling Shortwave Radiation;surface_diffuse_downwelling_shortwave_flux_in_air;unset;[['CMIP5_aero']]
tsnint;Temperature at Interface Between Sea Ice and Snow;sea_ice_surface_temperature;"When computing the time-mean here, the time-samples, weighted by the area of snow-covered sea ice in the grid cell, are accumulated and then divided by the sum of the weights.  Reported as """"missing"""" in regions free of snow-covered sea ice.";[['CMIP5_OImon']]
dryso4;Dry Deposition Rate of SO4;tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_dry_deposition;unset;[['CMIP5_aero']]
sfmmraerh2o;Aerosol Water Mass Mixing Ratio in Lowest Model Layer;mass_fraction_of_water_in_ambient_aerosol_in_air;aerosol water;[['CCMI1_daily']]
flashrate;Lightning Flash Rate;unset;proposed name: lightning_flash_rate (units to be interpreted as counts km-2 s-1);[['CCMI1_monthly']]
vmrno2;NO2 Volume Mixing Ratio;mole_fraction_of_nitrogen_dioxide_in_air;;[['CCMI1_daily', 'CCMI1_monthly']]
lwtoaaso3;All-Sky LW-RF O3 at TOA;unset;proposed name: toa_instantaneous_longwave_forcing_due_to_ozone;[['CCMI1_monthly']]
masso;Sea Water Mass;sea_water_mass;unset;[['CMIP5_Omon']]
vmro3cnp;Ozone Volume Mixing Ratio at Canopy Height;mole_fraction_of_ozone_in_air;;[['CCMI1_monthly']]
ch3clbrdn;Atmospheric Burden of CH3Cl;atmosphere_moles_of_methyl_chloride;total yearly average burden;[['CCMI1_annual']]
vmrch3ooh;CH3OOH Volume Mixing Ratio;mole_fraction_of_methyl_hydroperoxide_in_air;;[['CCMI1_daily']]
